BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
TQBR,2024-05-24,FIXP-гдр,FIXP,11839,121293011.0,289.9,275.3,289.9,281.7,281.3,276.5,431262,283.7,283.7,,76692811.4,76692811.4,,0.0,3,SUR,-4.39
SMAL,2024-05-24,Совкомфлот,FLOT,21,4121.27,134.56,128.41,134.56,,133.54,128.41,31,,,,0.0,0.0,,0.0,3,SUR,-3.6
TQBR,2024-05-24,Совкомфлот,FLOT,95214,2354229638.9,132.3,130.66,136.2,134.0,133.54,132.8,17633220,133.53,133.53,,2225812022.8,2225812022.8,,0.0,3,SUR,0.42
TQPI,2024-05-24,ГАЗ ао,GAZA,78,1371630.0,809.0,792.0,811.0,802.0,802.0,802.0,1710,802.0,802.0,,1371630.0,1371630.0,,0.0,3,SUR,-0.62
TQPI,2024-05-24,ГАЗ ап,GAZAP,53,480215.0,502.0,481.0,502.0,481.0,490.0,481.0,980,,490.5,,0.0,500300.0,,0.0,3,SUR,-3.99
TQBR,2024-05-24,ГАЗКОН-ао,GAZC,0,0.0,,,,659.0,,,0,,,,0.0,0.0,,0.0,3,SUR,
SMAL,2024-05-24,ГАЗПРОМ ао,GAZP,38,11958.3,137.9,133.48,137.9,,134.6,133.5,89,,,,0.0,0.0,,0.0,3,SUR,-1.64
TQBR,2024-05-24,ГАЗПРОМ ао,GAZP,121510,7916905636.2,134.9,133.0,136.45,133.75,134.6,133.34,58821300,134.78,134.78,,6856055167.2,6856055167.2,,0.0,3,SUR,-1.0
TQBR,2024-05-24,ГАЗ-сервис,GAZS,0,0.0,,,,839.0,,,0,,,,0.0,0.0,,0.0,3,SUR,
TQBR,2024-05-24,ГАЗ-Тек ао,GAZT,0,0.0,,,,1739.0,,,0,,,,0.0,0.0,,0.0,3,SUR,
TQBR,2024-05-24,ЧеркизГ-ао,GCHE,2548,42497571.0,4887.0,4750.0,4900.5,4788.0,4821.0,4788.0,8815,4821.0,4821.0,,42497571.0,42497571.0,,0.0,3,SUR,-1.83
TQBR,2024-05-24,iГЕНЕТИКО,GECO,3765,37611372.7,45.29,43.21,45.4,43.61,44.14,43.61,852150,44.14,44.14,,37611372.7,37611372.7,,0.0,3,SUR,-3.67
TQBR,2024-05-24,iММЦБ ао,GEMA,336,3544938.0,181.4,174.6,181.4,175.4,177.5,175.4,19970,177.5,177.5,,3544938.0,3544938.0,,0.0,3,SUR,-3.31
TQBR,2024-05-24,МКПАО ЮМГ,GEMC,2896,33058920.1,801.4,785.4,809.0,799.8,798.3,799.8,41410,798.3,798.3,,33058920.1,33058920.1,,0.0,3,SUR,-0.16
TQBR,2024-05-24,GLTR-гдр,GLTR,11163,160799931.3,780.3,765.05,785.8,773.55,773.25,771.45,207954,773.45,773.45,,146344433.3,146344433.3,,0.0,3,SUR,-1.16
SMAL,2024-05-24,ГМКНорНик,GMKN,9,1966.04,156.1,148.06,156.1,,153.78,155.22,13,,,,0.0,0.0,,0.0,3,SUR,-0.63
TQBR,2024-05-24,ГМКНорНик,GMKN,60865,3916326105.6,154.06,151.5,157.7,152.24,153.78,153.04,25458600,153.88,153.88,,3745272906.4,3745272906.4,,0.0,3,SUR,-0.66
TQTF,2024-05-24,GOLD ETF,GOLD,9628,38409326.1,1.7075,1.7005,1.7155,1.7085,1.7095,1.711,22466256,1.71,1.71,,34072807.79,34072807.79,,63876409.99,3,SUR,0.2
TQTF,2024-05-24,GPBM ETF,GPBM,1,14784000.0,61600.0,61600.0,61600.0,61600.0,61600.0,61600.0,240,61600.0,61600.0,,17865700.0,16938000.0,,325473.02,3,SUR,0.0
TQTF,2024-05-24,GPBS ETF,GPBS,0,0.0,,,,65700.0,,,0,65700.0,65700.0,,6175800.0,6175800.0,,422107.94,3,SUR,
TQTF,2024-05-24,ETF GROD,GROD,62,721970.5,988.5,973.0,989.0,979.0,975.5,982.0,740,,986.5,,0.0,502010.0,,458560.41,3,SUR,-0.51
