SECID,BOARDID,BID,BIDDEPTH,OFFER,OFFERDEPTH,SPREAD,BIDDEPTHT,OFFERDEPTHT,OPEN,LOW,HIGH,LAST,LASTCHANGE,LASTCHANGEPRCNT,QTY,VALUE,VALUE_USD,WAPRICE,LASTCNGTOLASTWAPRICE,WAPTOPREVWAPRICEPRCNT,WAPTOPREVWAPRICE,CLOSEPRICE,MARKETPRICETODAY,MARKETPRICE,LASTTOPREVPRICE,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,ETFSETTLEPRICE,TRADINGSTATUS,UPDATETIME,LASTBID,LASTOFFER,LCLOSEPRICE,LCURRENTPRICE,MARKETPRICE2,NUMBIDS,NUMOFFERS,CHANGE,TIME,HIGHBID,LOWOFFER,PRICEMINUSPREVWAPRICE,OPENPERIODPRICE,SEQNUM,SYSTIME,CLOSINGAUCTIONPRICE,CLOSINGAUCTIONVOLUME,ISSUECAPITALIZATION,ISSUECAPITALIZATION_UPDATETIME,ETFSETTLECURRENCY,VALTODAY_RUR,TRADINGSESSION,TRENDISSUECAPITALIZATION
JNOSP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,15.6,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,4862234737.36,00:00:00,,0,,0.0
KAZT,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,612.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,142081005793.2,00:00:00,,0,,0.0
KAZTP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,635.5,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,2336191792.0,00:00:00,,0,,0.0
KBSB,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,504.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,8997263040.0,00:00:00,,0,,0.0
KCHE,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,0.676,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,39115549016.06,00:00:00,,0,,0.0
KCHEP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,1.275,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,233404116.3,00:00:00,,0,,0.0
KGKC,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,53.2,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,6392067793.2,00:00:00,,0,,0.0
KGKCP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,56.6,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,797375080.8,00:00:00,,0,,0.0
KLSB,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,29.26,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,2659537177.29,00:00:00,,0,,0.0
KLVZ,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,7.18,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,6589211015.8,00:00:00,,0,,0.0
KMAZ,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,174.8,0,0,0,0,0,,N,06:32:24,,,,,,,,,06:32:24,,,,,20240527064726,2024-05-27 06:47:26,,,119946133206.4,00:00:00,,0,,0.0
KMEZ,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,1594.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,6000772400.0,18:45:20,,0,,0.0
KOGK,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,51200.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,12756426000.0,00:00:00,,0,,0.0
KRKN,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,12600.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,9200547600.0,00:00:00,,0,,0.0
KRKNP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,11160.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,2762653960.0,00:00:00,,0,,0.0
KRKOP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,14.5,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,1005156040.0,00:00:00,,0,,0.0
KROT,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,2710.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,24675469691.0,00:00:00,,0,,0.0
KROTP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,778.0,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,1148673671.0,00:00:00,,0,,0.0
KRSB,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,18.44,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,10931366484.08,00:00:00,,0,,0.0
KRSBP,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,18.1,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,3048639637.12,00:00:00,,0,,0.0
KUBE,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,338.2,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,111307196586.2,00:00:00,,0,,0.0
KUZB,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,0.0578,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,1296201074.4,00:00:00,,0,,0.0
KZOS,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0,,0,0,0,,,112.9,0,0,0,0,0,,N,06:32:18,,,,,,,,,06:32:18,,,,,20240527064718,2024-05-27 06:47:18,,,201182347800.0,00:00:00,,0,,0.0
