SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
GTRK,TQBR,ГТМ ао,412.0,10,100.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""ГТМ"" ао",,FNDT,EQIN,,0.1,413.2,SUR,2024-05-24,58462120,RU000A0ZYD22,GTM,1-01-84907-H,412.2,SUR,1,3,2024-05-28
HHRU,TQBR,iHHRU-адр,5077.0,1,0.0,A,Т+: Акции и ДР - безадрес.,0,АДР HeadHunter Group ORD SHS,,FNDT,EQIN,,1.0,5038.0,USD,2024-05-24,0,US42207L1061,ADR HeadHunter Group ORD SHS,,5077.0,SUR,D,1,2024-05-28
HIMCP,TQBR,Химпром ап,29.44,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Химпром ПАО ап,,FNDT,EQIN,,0.02,29.56,SUR,2024-05-24,229631402,RU0009099006,Himprom ap,2-01-55076-D,29.44,SUR,2,3,2024-05-28
HNFG,TQBR,ХЭНДЕРСОН,733.1,1,50.0,A,Т+: Акции и ДР - безадрес.,1,ХЭНДЕРСОН ао,,FNDT,EQIN,,0.1,748.2,SUR,2024-05-24,40444445,RU000A106XF2,HENDERSON,1-01-03109-G,733.1,SUR,1,2,2024-05-28
HYDR,TQBR,РусГидро,0.6989,1000,1.0,A,Т+: Акции и ДР - безадрес.,4,"ПАО ""РусГидро""",,FNDT,EQIN,,0.0001,0.7082,SUR,2024-05-24,444793377038,RU000A0JPKH7,RusGidro,1-01-55038-E,0.7144,SUR,1,1,2024-05-28
IGST,TQBR,Ижсталь2ао,10840.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,Ижсталь ПАО ао 2в.,,FNDT,EQIN,,20.0,11180.0,SUR,2024-05-24,800729,RU0002155292,Izhstal 2ao,1-02-30078-D,10860.0,SUR,1,3,2024-05-28
IGSTP,TQBR,Ижсталь ап,8000.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,Ижсталь ПАО ап,,FNDT,EQIN,,10.0,8300.0,SUR,2024-05-24,266910,RU0002155300,Izhstal ap,2-02-30078-D,8000.0,SUR,2,3,2024-05-28
INGR,TQBR,ИНГРАД ао,1779.0,1,1000.0,A,Т+: Акции и ДР - безадрес.,0,ИНГРАД ПАО ао,,FNDT,EQIN,,1.0,1785.0,SUR,2024-05-24,41220793,RU000A0DJ9B4,INGRAD,1-01-50020-A,1779.0,SUR,1,3,2024-05-28
IRAO,TQBR,ИнтерРАОао,4.309,100,2.809767,A,Т+: Акции и ДР - безадрес.,4,"""Интер РАО"" ПАО ао",,FNDT,EQIN,,0.0005,4.3305,SUR,2024-05-24,104400000000,RU000A0JPNM1,Inter RAO ao,1-04-33498-E,4.3135,SUR,1,1,2024-05-28
IRKT,TQBR,Яковлев-3,60.4,100,3.0,A,Т+: Акции и ДР - безадрес.,2,"""Яковлев"" ПАО ак.об.-3",,FNDT,EQIN,,0.05,62.3,SUR,2024-05-24,11686422311,RU0006752979,Yakovlev-3,1-03-00040-A,62.0,SUR,1,3,2024-05-28
JNOS,TQBR,Славн-ЯНОС,24.25,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Славнефть-ЯНОС (ПАО) ао,,FNDT,EQIN,,0.05,24.35,SUR,2024-05-24,932654723,RU0009100895,Slavneft-JANOS,1-01-00199-A,24.25,SUR,1,3,2024-05-28
JNOSP,TQBR,Слав-ЯНОСп,15.64,100,1.0,A,Т+: Акции и ДР - безадрес.,2,Славнефть-ЯНОС (ПАО) ап,,FNDT,EQIN,,0.02,15.6,SUR,2024-05-24,310884574,RU0009101927,Slavneft-JANOS (pref),2-01-00199-A,15.64,SUR,2,3,2024-05-28
