SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
GAZS,TQBR,ГАЗ-сервис,839.0,10,10.0,A,Т+: Акции и ДР - безадрес.,0,ГАЗ-сервис (ПАО) ао,,FNDT,EQIN,,1.0,839.0,SUR,2024-05-23,206508967,RU000A0JQG78,Gaz-servis ao,1-01-09871-A,839.0,SUR,1,3,2024-05-27
GAZT,TQBR,ГАЗ-Тек ао,1739.0,10,100.0,A,Т+: Акции и ДР - безадрес.,1,ГАЗ-Тек ПАО ао,,FNDT,EQIN,,0.5,1739.0,SUR,2024-05-23,471428300,RU000A0JS199,GAZ-Tek PAO ao,1-01-12996-A,1739.0,SUR,1,3,2024-05-27
GCHE,TQBR,ЧеркизГ-ао,4877.5,1,0.01,A,Т+: Акции и ДР - безадрес.,1,Группа Черкизово ПАО-ао,,FNDT,EQIN,,0.5,4870.0,SUR,2024-05-23,42222042,RU000A0JL4R1,Cherkizovo Group ao,1-02-10797-A,4877.5,SUR,1,3,2024-05-27
GECO,TQBR,iГЕНЕТИКО,45.27,10,0.01,A,Т+: Акции и ДР - безадрес.,2,ЦГРМ ГЕНЕТИКО ао,,FNDT,EQIN,,0.01,45.24,SUR,2024-05-23,83000000,RU000A105BN4,GENETICO,1-01-87198-H,45.27,SUR,1,3,2024-05-27
GEMA,TQBR,iММЦБ ао,181.4,10,0.01,A,Т+: Акции и ДР - безадрес.,2,ПАО ММЦБ ао,,FNDT,EQIN,,0.05,181.95,SUR,2024-05-23,14929920,RU000A100GC7,IMCB PJSC,1-01-85932-H,181.4,SUR,1,3,2024-05-27
GEMC,TQBR,МКПАО ЮМГ,801.1,1,0.03721404,A,Т+: Акции и ДР - безадрес.,1,Юнайтед Медикал Груп ПАО,,FNDT,EQIN,,0.1,800.0,SUR,2024-05-23,90000000,RU000A107JE2,IPJSC UMG,1-01-16774-A,801.1,SUR,1,1,2024-05-27
GLTR,TQBR,GLTR-гдр,780.5,1,0.0,A,Т+: Акции и ДР - безадрес.,2,ГДР Globaltrans Invest ORD SHS,,FNDT,EQIN,,0.05,775.65,USD,2024-05-23,0,US37949E2046,GDR Globaltrans Inves ORD SHS,,784.5,SUR,D,1,2024-05-27
GMKN,TQBR,ГМКНорНик,154.06,10,0.01,A,Т+: Акции и ДР - безадрес.,2,"ГМК ""Нор.Никель"" ПАО ао",,FNDT,EQIN,,0.02,151.74,SUR,2024-05-23,15286339700,RU0007288411,NorNickel GMK,1-01-40155-F,155.08,SUR,1,1,2024-05-27
GTRK,TQBR,ГТМ ао,418.5,10,100.0,A,Т+: Акции и ДР - безадрес.,1,"ПАО ""ГТМ"" ао",,FNDT,EQIN,,0.1,419.0,SUR,2024-05-23,58462120,RU000A0ZYD22,GTM,1-01-84907-H,417.4,SUR,1,3,2024-05-27
HHRU,TQBR,iHHRU-адр,5151.0,1,0.0,A,Т+: Акции и ДР - безадрес.,0,АДР HeadHunter Group ORD SHS,,FNDT,EQIN,,1.0,5187.0,USD,2024-05-23,0,US42207L1061,ADR HeadHunter Group ORD SHS,,5151.0,SUR,D,1,2024-05-27
