SECID,BOARDID,BID,BIDDEPTH,OFFER,OFFERDEPTH,SPREAD,BIDDEPTHT,OFFERDEPTHT,OPEN,LOW,HIGH,LAST,LASTCHANGE,LASTCHANGEPRCNT,QTY,VALUE,VALUE_USD,WAPRICE,LASTCNGTOLASTWAPRICE,WAPTOPREVWAPRICEPRCNT,WAPTOPREVWAPRICE,CLOSEPRICE,MARKETPRICETODAY,MARKETPRICE,LASTTOPREVPRICE,NUMTRADES,VOLTODAY,VALTODAY,VALTODAY_USD,ETFSETTLEPRICE,TRADINGSTATUS,UPDATETIME,LASTBID,LASTOFFER,LCLOSEPRICE,LCURRENTPRICE,MARKETPRICE2,NUMBIDS,NUMOFFERS,CHANGE,TIME,HIGHBID,LOWOFFER,PRICEMINUSPREVWAPRICE,OPENPERIODPRICE,SEQNUM,SYSTIME,CLOSINGAUCTIONPRICE,CLOSINGAUCTIONVOLUME,ISSUECAPITALIZATION,ISSUECAPITALIZATION_UPDATETIME,ETFSETTLECURRENCY,VALTODAY_RUR,TRADINGSESSION,TRENDISSUECAPITALIZATION
EELT,TQBR,,,,,0,0,0,19.46,19.2,19.58,19.34,0,0,1,193.4,2.16,19.32,0,-0.62,-0.12,,19.32,19.44,-0.62,931,373250,7213107,80411,,N,23:50:04,,,19.34,19.32,19.32,,,-0.12,18:45:07,,,-0.1,19.46,20240526000501,2024-05-26 00:05:01,19.34,20.0,10672063420.0,18:45:07,,7213107,,0.0
ELFV,TQBR,,,,,0,0,0,0.6094,0.592,0.6132,0.5938,0,0,39,23158.2,258.17,0.6014,0,-1.28,-0.0078,,0.6064,0.609,-2.91,2549,106771000,64211073,715822,,N,23:50:05,,,0.604,0.594,0.6064,,,-0.0178,23:49:40,,,-0.0154,0.605,20240526000501,2024-05-26 00:05:01,0.604,78000.0,21003833252.11,23:49:40,,64211073,,0.0
ENPG,TQBR,,,,,0,0,0,463.95,444.4,464.75,446.95,0,0,1,446.95,4.98,452.95,0,-1.45,-6.65,,454.25,459.4,-3.52,8790,369384,167315248,1865222,,N,23:50:05,,,449.9,445.6,454.25,,,-16.3,23:49:58,,,-12.65,450.05,20240526000501,2024-05-26 00:05:01,449.9,1023.0,285533514067.2,23:49:58,,167315248,,0.0
ETLN,TQBR,,,,,0,0,0,96.06,92.46,96.66,94.08,0,0,2,188.16,2.1,93.92,0,-1.7,-1.62,,93.92,95.54,-2.04,7897,483953,45454401,506723,,N,23:50:04,,,94.08,94.08,93.92,,,-1.96,18:46:44,,,-1.46,96.06,20240526000501,2024-05-26 00:05:01,94.08,1502.0,,,,45454401,,
EUTR,TQBR,,,,,0,0,0,237.0,220.55,238.0,222.45,0,0,57,12679.65,141.35,227.65,0,2.13,4.75,,227.65,222.9,-1.35,81850,13070102,2975141963,33166731,,N,23:50:04,,,222.45,222.45,227.65,,,-3.05,18:49:57,,,-0.45,237.0,20240526000501,2024-05-26 00:05:01,222.45,36994.0,35402620529.25,18:49:57,,2975141963,,0.0
FEES,TQBR,,,,,0,0,0,0.11924,0.11394,0.11984,0.11468,0,0,1,1146.8,12.78,0.1159,0,-2.59,-0.00308,,0.116,0.11894,-3.84,17643,5392760000,624970959,6967144,,N,23:50:05,,,0.11536,0.11462,0.116,,,-0.00458,23:49:52,,,-0.0043,0.11536,20240526000501,2024-05-26 00:05:01,0.11536,2510000.0,242371604437.38,23:49:52,,624970959,,0.0
FESH,TQBR,,,,,0,0,0,79.86,77.17,80.61,77.41,0,0,16,12385.6,138.07,78.81,0,-1.84,-1.48,,79.19,80.3,-3.04,9533,2538110,200033836,2229967,,N,23:50:05,,,78.7,77.29,79.19,,,-2.43,23:49:55,,,-2.88,78.7,20240526000501,2024-05-26 00:05:01,78.7,170.0,228456262500.0,23:49:55,,200033836,,0.0
FIVE,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0.0,,0,0.0,0.0,,2805.0,2805.0,0.0,0,0,0,0,,N,23:50:05,,,2792.5,2792.5,,,,,23:50:05,,,,,20240526000501,2024-05-26 00:05:01,2792.5,,,,,0,,
FIXP,TQBR,,,,,0,0,0,289.9,275.3,289.9,276.5,0,0,2,553.0,6.16,281.3,0,-2.83,-8.2,,283.7,289.5,-4.39,11839,431262,121293011,1352168,,N,23:50:05,,,281.7,276.7,283.7,,,-12.7,23:49:58,,,-13.0,283.3,20240526000501,2024-05-26 00:05:01,281.7,153.0,,,,121293011,,
FLOT,TQBR,,,,,0,0,0,132.3,130.66,136.2,132.8,0,0,50,66400.0,740.22,133.54,0,2.34,3.05,,133.53,130.3,0.42,95214,17633220,2354229639,26244832,,N,23:50:05,,,134.0,133.01,133.53,,,0.56,23:49:56,,,2.31,134.0,20240526000501,2024-05-26 00:05:01,134.0,810.0,315399190052.8,23:49:56,,2354229639,,0.0
GAZC,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0.0,,0,0.0,0.0,,,,0.0,0,0,0,0,,C,23:50:04,,,659.0,659.0,,,,,23:50:04,,,,,20240526000501,2024-05-26 00:05:01,,,148526475059.0,00:00:00,,0,,0.0
GAZP,TQBR,,,,,0,0,0,134.9,133.0,136.45,133.34,0,0,2870,3826858.0,42661.62,134.6,0,-0.78,-1.06,,134.78,135.81,-1.0,121510,58821300,7916905636,88257259,,N,23:50:05,,,133.75,133.35,134.78,,,-1.35,23:49:53,,,-2.32,133.7,20240526000501,2024-05-26 00:05:01,133.75,151320.0,3156626210086.0,23:49:53,,7916905636,,0.0
GAZS,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0.0,,0,0.0,0.0,,,,0.0,0,0,0,0,,C,23:50:04,,,839.0,839.0,,,,,23:50:04,,,,,20240526000501,2024-05-26 00:05:01,,,173261023313.0,00:00:00,,0,,0.0
GAZT,TQBR,,,,,0,0,0,,,,,0,0,0,0.0,0.0,,0,0.0,0.0,,,,0.0,0,0,0,0,,C,23:50:04,,,1739.0,1739.0,,,,,23:50:04,,,,,20240526000501,2024-05-26 00:05:01,,,819813813700.0,00:00:00,,0,,0.0
GCHE,TQBR,,,,,0,0,0,4887.0,4750.0,4900.5,4788.0,0,0,1,4788.0,53.38,4821.0,0,-1.01,-49.0,,4821.0,4870.0,-1.83,2548,8815,42497571,473761,,N,23:50:04,,,4788.0,4788.5,4821.0,,,-89.5,18:45:19,,,-82.0,4887.0,20240526000501,2024-05-26 00:05:01,4788.0,34.0,202159137096.0,18:45:19,,42497571,,0.0
GECO,TQBR,,,,,0,0,0,45.29,43.21,45.4,43.61,0,0,45,19624.5,218.77,44.14,0,-2.43,-1.1,,44.14,45.24,-3.67,3765,852150,37611373,419290,,N,23:50:04,,,43.61,43.6,44.14,,,-1.66,18:46:24,,,-1.63,45.29,20240526000501,2024-05-26 00:05:01,43.61,400.0,3619630000.0,18:46:24,,37611373,,0.0
GEMA,TQBR,,,,,0,0,0,181.4,174.6,181.4,175.4,0,0,3,5262.0,58.66,177.5,0,-2.45,-4.45,,177.5,181.95,-3.31,336,19970,3544938,39519,,N,23:50:04,,,175.4,175.4,177.5,,,-6.0,18:46:54,,,-6.55,181.4,20240526000501,2024-05-26 00:05:01,175.4,30.0,2618707968.0,18:46:54,,3544938,,0.0
GEMC,TQBR,,,,,0,0,0,801.4,785.4,809.0,799.8,0,0,13,10397.4,115.91,798.3,0,-0.21,-1.7,,798.3,800.0,-0.16,2896,41410,33058920,368539,,N,23:50:04,,,799.8,799.8,798.3,,,-1.3,18:48:45,,,-0.2,801.4,20240526000501,2024-05-26 00:05:01,799.8,144.0,71982000000.0,18:48:45,,33058920,,0.0
GLTR,TQBR,,,,,0,0,0,780.3,765.05,785.8,771.45,0,0,3,2314.35,25.8,773.25,0,-0.31,-2.4,,773.45,775.4,-1.16,11163,207954,160799931,1792589,,N,23:50:05,,,773.55,771.1,773.45,,,-9.05,23:49:57,,,-4.2,769.6,20240526000501,2024-05-26 00:05:01,773.55,305.0,,,,160799931,,
GMKN,TQBR,,,,,0,0,0,154.06,151.5,157.7,153.04,0,0,138,211195.2,2354.39,153.78,0,1.34,2.04,,153.88,151.54,-0.66,60865,25458600,3916326106,43659003,,N,23:50:05,,,152.24,153.08,153.88,,,-1.02,23:49:50,,,1.3,152.24,20240526000501,2024-05-26 00:05:01,152.24,838510.0,2339421427688.0,23:49:50,,3916326106,,0.0
GTRK,TQBR,,,,,0,0,0,420.0,403.0,421.9,412.0,0,0,1,4120.0,45.93,413.2,0,-1.38,-5.8,,413.4,419.2,-1.55,4811,298190,123221775,1373670,,N,23:50:05,,,412.2,411.5,413.4,,,-6.5,23:49:50,,,-7.0,412.8,20240526000501,2024-05-26 00:05:01,412.2,20.0,24086393440.0,23:49:50,,123221775,,0.0
HHRU,TQBR,,,,,0,0,0,5173.0,4921.0,5182.0,5077.0,0,0,7,35539.0,396.19,5038.0,0,-2.87,-149.0,,5038.0,5188.0,-1.44,4526,26637,134209273,1496158,,N,23:50:04,,,5077.0,5077.0,5038.0,,,-74.0,18:48:49,,,-110.0,5173.0,20240526000501,2024-05-26 00:05:01,5077.0,18.0,,,,134209273,,
HIMCP,TQBR,,,,,0,0,0,29.38,29.24,29.96,29.44,0,0,10,29440.0,328.2,29.56,0,0.54,0.16,,29.56,29.4,-0.54,116,42500,1256646,14009,,N,23:50:04,,,29.44,29.5,29.56,,,-0.16,18:45:23,,,0.04,,20240526000501,2024-05-26 00:05:01,29.44,1100.0,6760348474.88,18:45:23,,1256646,,0.0
HNFG,TQBR,,,,,0,0,0,743.3,732.1,762.7,733.1,0,0,9,6597.9,73.55,748.2,0,1.87,13.7,,748.2,734.5,-0.99,21828,166836,124822088,1391510,,N,23:50:04,,,733.1,733.1,748.2,,,-7.3,18:49:04,,,-1.4,743.3,20240526000501,2024-05-26 00:05:01,733.1,136.0,29649822629.5,18:49:04,,124822088,,0.0
